iready_grade,assessmentIdentifier,edfi_descriptor
1,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#First grade
2,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Second grade
3,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Third grade
4,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
5,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
6,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
7,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
8,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
9,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
10,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
11,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
12,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
K,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
no grade,CAINC-IREADY-DIAGNOSTIC-ELA,uri://ed-fi.org/GradeLevelDescriptor#Ungraded
1,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#First grade
2,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Second grade
3,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Third grade
4,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
5,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
6,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
7,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
8,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
9,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
10,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
11,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
12,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
K,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
no grade,CAINC-IREADY-DIAGNOSTIC-MATH,uri://ed-fi.org/GradeLevelDescriptor#Ungraded
