assessment_identifier,bess_grade,gradeLevelDescriptor
bess_3_pk_parent,EE,uri://ed-fi.org/GradeLevelDescriptor#Early Education
bess_3_pk_teacher,EE,uri://ed-fi.org/GradeLevelDescriptor#Early Education
bess_3_student,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
bess_3_student,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
bess_3_student,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
bess_3_student,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
bess_3_student,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
bess_3_student,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
bess_3_student,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
bess_3_student,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
bess_3_student,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
bess_3_student,9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
bess_3_student,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
bess_3_student,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
bess_3_student,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
bess_3_parent,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
bess_3_parent,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
bess_3_parent,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
bess_3_parent,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
bess_3_parent,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
bess_3_parent,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
bess_3_parent,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
bess_3_parent,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
bess_3_parent,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
bess_3_parent,9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
bess_3_parent,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
bess_3_parent,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
bess_3_parent,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
bess_3_teacher,K,uri://ed-fi.org/GradeLevelDescriptor#Kindergarten
bess_3_teacher,1,uri://ed-fi.org/GradeLevelDescriptor#First grade
bess_3_teacher,2,uri://ed-fi.org/GradeLevelDescriptor#Second grade
bess_3_teacher,3,uri://ed-fi.org/GradeLevelDescriptor#Third grade
bess_3_teacher,4,uri://ed-fi.org/GradeLevelDescriptor#Fourth grade
bess_3_teacher,5,uri://ed-fi.org/GradeLevelDescriptor#Fifth grade
bess_3_teacher,6,uri://ed-fi.org/GradeLevelDescriptor#Sixth grade
bess_3_teacher,7,uri://ed-fi.org/GradeLevelDescriptor#Seventh grade
bess_3_teacher,8,uri://ed-fi.org/GradeLevelDescriptor#Eighth grade
bess_3_teacher,9,uri://ed-fi.org/GradeLevelDescriptor#Ninth grade
bess_3_teacher,10,uri://ed-fi.org/GradeLevelDescriptor#Tenth grade
bess_3_teacher,11,uri://ed-fi.org/GradeLevelDescriptor#Eleventh grade
bess_3_teacher,12,uri://ed-fi.org/GradeLevelDescriptor#Twelfth grade
